job_id,job_title,company_name,company_state,salary_range,remote_ratio,employment_type,experience_level,company_size,image_link
3307333329,Engineer - Machine Learning,TWO,"· Silicon Valley, CA",90.000 $/año - 120.000 $/año,En remoto,Jornada completa,Sin experiencia,"De 11 a 50 empleados · Tecnología, información y medios de comunicación",https://media.licdn.com/dms/image/C4D0BAQHJEf7E7cZwLQ/company-logo_100_100/0/1662151302026/2wo_logo?e=1709769600&v=beta&t=e_wW3sm597qXnxiqkaT8ltzZMNVD6omyyX1ewiQI0tM
3313895534,Signal Processing AI/Machine Learning Engineer,CyberCoders,"· Raleigh, NC",100.000 $/año - 150.000 $/año,Presencial,Jornada completa,Intermedio,De 201 a 500 empleados · Dotación y selección de personal,https://media.licdn.com/dms/image/C560BAQF7t9X4k2P2hA/company-logo_100_100/0/1630672294143/cybercoders_logo?e=1709164800&v=beta&t=RDBZUtG7SkRFHALJt7oijy6jOOfKXcKUO5vJC9XtEiA
3324071738,CYBER INTEL ANALYST - PEN TESTER,KACE Company,"· Arlington, VA",100.000 $/año - 150.000 $/año,Presencial,Jornada completa,Intermedio,De 1.001 a 5.000 empleados · Consultoría y servicios a empresas,https://media.licdn.com/dms/image/C560BAQENl0pavUi3Yg/company-logo_100_100/0/1651252161438/kace_company_logo?e=1709164800&v=beta&t=gkdtSNmjN6inCyVv1uZU8vFkSUOy4rg0GEUZ7Rf5WE0
3434574132,Machine Learning Engineer,OXMAN,"· Nueva York, NY",100.000 $/año - 150.000 $/año,Presencial,Jornada completa,Intermedio,De 11 a 50 empleados · Servicios de diseño,https://media.licdn.com/dms/image/C4D0BAQGqPXiOD9tceA/company-logo_100_100/0/1652807382077/oxman_logo?e=1709769600&v=beta&t=ms7v2wBSD-H8HDKnLI4Jayg7RHQ9_US_iHmaye9Ciog
3449519309,Machine Learning Engineer,BenchPoint,· Estados Unidos,100.000 $/año - 150.000 $/año,Presencial,Jornada completa,Intermedio,Entre 1 y 10 empleados · Dotación y selección de personal,https://media.licdn.com/dms/image/C4E0BAQH6cuPwKfwv6Q/company-logo_100_100/0/1630602593777/benchpoint_logo?e=1709769600&v=beta&t=EZDeDulq-gDOdh3jHLviPXcY5rS4Clon0C43zAmAvAQ
3518386782,Autonomy Engineer - Deep Learning,Skydio,"· San Mateo, CA",100.000 $/año - 150.000 $/año,Presencial,Jornada completa,Intermedio,De 501 a 1.000 empleados · Fabricación de componentes aeroespaciales y de aviación,https://media.licdn.com/dms/image/D560BAQEOg7RZwoPGkw/company-logo_100_100/0/1691098239663/skydio_logo?e=1709769600&v=beta&t=ZjzLUOlsGUyIwou3XaDmRw3Wc-hcZafWM9eVd3Gs9wQ
3557502669,Senior Algorithms Engineer (Image Processing),KLA,"· Ann Arbor, MI",100.000 $/año - 150.000 $/año,Presencial,Jornada completa,Intermedio,Más de 10.001 empleados · Fabricación de semiconductores,https://media.licdn.com/dms/image/C560BAQF6F4zFyo4WzQ/company-logo_100_100/0/1656661447198/klacorp_logo?e=1709164800&v=beta&t=W5NlRIEnDW_a6aDwcr5StFgFaHXmK6O8YavTAzHM9hY
3577492525,Principal Deep Learning Engineer - Computer Vision,Roblox,"· San Mateo, CA",283.780 $/año - 331.640 $/año,Híbrido,Jornada completa,Sin experiencia,De 1.001 a 5.000 empleados · Desarrollo de software,https://media.licdn.com/dms/image/C4E0BAQHcBSrlw3MI3g/company-logo_100_100/0/1661789836195/roblox_logo?e=1709164800&v=beta&t=plego7yrKaBkcs_qiKi3FlEZE03vtx0m99gjB8JZe2w
3584070405,Senior Data Scientist,Alo Yoga,"· Beverly Hills, CA",160.000 $/año - 200.000 $/año,Presencial,Jornada completa,Intermedio,De 501 a 1.000 empleados · Comercio al por menor de prendas de vestir y moda,https://media.licdn.com/dms/image/C560BAQHUIAblW0luTw/company-logo_100_100/0/1630663534885/alo_yoga_logo?e=1709769600&v=beta&t=QgXm06JGhkDO7RtYn0tITbmYWsdJLOLgJOgOjt4q0lg
3594968223,Direct Client – Lead Data Engineer/ Architect,The AES Group,"· Seattle, WA",160.000 $/año - 200.000 $/año,Presencial,Jornada completa,Intermedio,De 51 a 200 empleados · Servicios y consultoría de TI,https://media.licdn.com/dms/image/D560BAQGXvJ_-vOyr6w/company-logo_100_100/0/1699985046962/the_aes_group_logo?e=1709769600&v=beta&t=lO1y_Grg2aaYO9pBjj89HJxtanCC9EX4haWazFswK9A
3594987830,Data Scientist,Sandhills Global,"· Lincoln, NE",160.000 $/año - 200.000 $/año,Presencial,Jornada completa,Intermedio,De 1.001 a 5.000 empleados · Desarrollo de software,https://media.licdn.com/dms/image/C560BAQG6iMYa4dTBqw/company-logo_100_100/0/1630611526265/sandhills_publishing_logo?e=1709769600&v=beta&t=M3at9O6buJJ_vcGqNomjL8rc9yAs__wwwyQMaqlzLTo
3605390007,Machine Learning Engineer,CGG,"· Houston, TX",160.000 $/año - 200.000 $/año,Presencial,Jornada completa,Intermedio,"De 1.001 a 5.000 empleados · Tecnología, información e internet",https://media.licdn.com/dms/image/D4E0BAQE85_j6tWFpCQ/company-logo_100_100/0/1688368155688/cgg_logo?e=1709769600&v=beta&t=bjjYzYUZ63EDgDvQxaPdF6SfzcoVZOQyPAorfhja7Z8
3608073285,"Data Engineer WITH INSURANCE BACKGROUND, Remote",Stellent IT,· Estados Unidos,160.000 $/año - 200.000 $/año,Presencial,Jornada completa,Intermedio,De 11 a 50 empleados · Dotación y selección de personal,https://media.licdn.com/dms/image/C4D0BAQGr8yWZPpE6qw/company-logo_100_100/0/1647629711243/stellent_it_logo?e=1709769600&v=beta&t=LDSza7qHGjE3a0x54WiyfjmxDmJDxvKjjJPwEXcwEmc
3619562149,"LOGISTICS DATA ANALYST INTERN, YEAR ROUND","Berry Global, Inc.","· Evansville, IN",,Presencial,Prácticas,Prácticas,Más de 10.001 empleados · Fabricación de productos de plástico,https://media.licdn.com/dms/image/D560BAQHcYU78FzvsrA/company-logo_100_100/0/1666532272703/berryglobal_logo?e=1709769600&v=beta&t=0Q7y4Jc5G-37_6Tn5R0cVSCGhw7rpq5O9DfGNvpeeL4
3620841954,Senior Data Scientist,Coinbase,"· Seattle, WA",,Presencial,Prácticas,Prácticas,De 1.001 a 5.000 empleados · Publicaciones en línea,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1709769600&v=beta&t=JIE5ibIVc4TfBx2KwDIdWHrY5wsBRlvvHTeOMdsAzu0
3620842820,Senior Data Scientist,Coinbase,"· Atlanta, GA",,Presencial,Prácticas,Prácticas,De 1.001 a 5.000 empleados · Publicaciones en línea,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1709769600&v=beta&t=JIE5ibIVc4TfBx2KwDIdWHrY5wsBRlvvHTeOMdsAzu0
