job_id,job_title,company_name,company_state,employment_type,experience_level,company_size,image_link,employees,company_services,salary,original_title
2825610354,Deep Learning Engineer,Stochastic,MA,Full-time,Entry level,S,https://media.licdn.com/dms/image/D560BAQFCWfw2DWPGPA/company-logo_100_100/0/1694710644373/stochasticai_logo?e=1712188800&v=beta&t=XYmWaI7K5nSrCt-GrjZC53OUbPWaSd5x0AbGSx5w3dg,1-10 employees,Software Development,100000.0,Deep Learning Engineer
2938046916,Senior Data Scientist,Zoox,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQF2yqp_9BrVew/company-logo_100_100/0/1654722579134/zoox_inc_logo?e=1712188800&v=beta&t=SL6WcNU244xnmomZB-gLmVL3m7hhTuBMoxH3yOMQ3Sc,"1,001-5,000 employees",Automotive,249000.0,Senior Data Scientist
2938048751,Senior Machine Learning Engineer,Zoox,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQF2yqp_9BrVew/company-logo_100_100/0/1654722579134/zoox_inc_logo?e=1712188800&v=beta&t=SL6WcNU244xnmomZB-gLmVL3m7hhTuBMoxH3yOMQ3Sc,"1,001-5,000 employees",Automotive,270000.0,Senior/Staff Machine Learning Engineer - Prediction & Behavior ML
3240956260,Python Developer,Atlantic Partners Corporation,PA,Full-time,Mid-Senior level,M,https://media.licdn.com/dms/image/C4E0BAQFvIfdSwrvS9g/company-logo_100_100/0/1631314339396?e=1712188800&v=beta&t=PozyfmzLwNtlCodZeueeKaYzURBgJTWGOCpSWKeJmBc,51-200 employees,Staffing and Recruiting,157500.0,Python Developer
3425003322,Senior Software Engineer,Zoox,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQF2yqp_9BrVew/company-logo_100_100/0/1654722579134/zoox_inc_logo?e=1712188800&v=beta&t=SL6WcNU244xnmomZB-gLmVL3m7hhTuBMoxH3yOMQ3Sc,"1,001-5,000 employees",Automotive,270000.0,Senior/Staff Software Engineer - Machine Learning
3463197080,Senior Machine Learning Engineer,TikTok,WA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C510BAQGCdThXIss7UQ/company-logo_100_100/0/1630606162248/tiktok_logo?e=1712188800&v=beta&t=TnKOeulgrxOnJlI9SSXh4fTDEGqREutfoACQXiEx7ZU,"10,001+ employees",Entertainment Providers,221844.0,Senior Machine Learning Engineer - Ads Signal
3474043331,Data Analyst,Public Consulting Group,NY,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4E0BAQHbfiWr4LHVJA/company-logo_100_100/0/1630602491796/public_consulting_group_logo?e=1712188800&v=beta&t=DdrG92DiOyer22Z4TaKb-YxO7xzImOQwvEojbVCmilA,"1,001-5,000 employees",Professional Services,60500.0,Healthcare Data Analyst - OQPS 1002
3500265434,Data Engineer,University of Southern California,CA,Contract,Entry level,L,https://media.licdn.com/dms/image/C4E0BAQHatTfEv4Af6w/company-logo_100_100/0/1631312619853?e=1712188800&v=beta&t=k9Y53wxn7O_4EGMt8rxXvYTyxdRLcO_g4tmy9LUMTNs,"10,001+ employees",Higher Education,103369.675,Data Engineer
3538481410,Senior Machine Learning Engineer,TikTok,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C510BAQGCdThXIss7UQ/company-logo_100_100/0/1630606162248/tiktok_logo?e=1712188800&v=beta&t=TnKOeulgrxOnJlI9SSXh4fTDEGqREutfoACQXiEx7ZU,"10,001+ employees",Entertainment Providers,233520.0,Senior Machine Learning Engineer - TikTok Ads Core
3550514419,Senior Data Scientist,TikTok,WA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C510BAQGCdThXIss7UQ/company-logo_100_100/0/1630606162248/tiktok_logo?e=1712188800&v=beta&t=TnKOeulgrxOnJlI9SSXh4fTDEGqREutfoACQXiEx7ZU,"10,001+ employees",Entertainment Providers,227788.5,"Senior Data Scientist, E-commerce Risk/Fraud - USDS"
3550960182,Senior Data Engineer,Spotter,CA,Full-time,Mid-Senior level,M,https://media.licdn.com/dms/image/C560BAQEYvkAOOIHdxg/company-logo_100_100/0/1633534958573/spotter_inc_logo?e=1712188800&v=beta&t=zerAvSor0uPeyPLwO7Dxb2n_BziJCh5YyqUcQjzWL_w,51-200 employees,Online Audio and Video Media,300000.0,Senior Data Engineer
3561647887,Senior Data Analyst,TikTok,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C510BAQGCdThXIss7UQ/company-logo_100_100/0/1630606162248/tiktok_logo?e=1712188800&v=beta&t=TnKOeulgrxOnJlI9SSXh4fTDEGqREutfoACQXiEx7ZU,"10,001+ employees",Entertainment Providers,200066.5,"Lead Data Analyst/Senior Data Analyst, Tiktok Ads - USDS"
3563806848,Senior Data Architect,University of Southern California,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4E0BAQHatTfEv4Af6w/company-logo_100_100/0/1631312619853?e=1712188800&v=beta&t=k9Y53wxn7O_4EGMt8rxXvYTyxdRLcO_g4tmy9LUMTNs,"10,001+ employees",Higher Education,155000.0,Senior Data Architect
3575086504,Senior Deep Learning Engineer,Kodiak,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/D560BAQHE2FF9OdBnRA/company-logo_100_100/0/1689098776046/kodiakrobotics_logo?e=1712188800&v=beta&t=7S9W6dSIUxji5WD845zvehHp-jil5gyu0cOMYi4o4rc,201-500 employees,Software Development,225000.0,"Senior Software Engineer, Deep Learning for Computer Vision"
3575088451,Senior Deep Learning Engineer,Mashgin,CA,Full-time,Mid-Senior level,M,https://media.licdn.com/dms/image/C560BAQFQbFDshlGCow/company-logo_100_100/0/1630667992888/mashgin_logo?e=1712188800&v=beta&t=MwguQI9T9NvImTGMkTLAwAJ_hM533NcoJmWM4SUqXRM,51-200 employees,Software Development,500000.0,"Senior Software Engineer, Computer Vision and Deep Learning"
3577490891,Machine Learning Engineer,Roblox,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4E0BAQHcBSrlw3MI3g/company-logo_100_100/0/1661789836195/roblox_logo?e=1712188800&v=beta&t=lNbBtk1S52d_PRMUL3QFO5zGaRvQOTmM9_wZm9Jm8aU,"1,001-5,000 employees",Software Development,307710.0,Principal Machine Learning Engineer - Personalization
3581047688,Data Analyst,Monster Energy,GA,Full-time,Entry level,L,https://media.licdn.com/dms/image/C560BAQGt1iKQ9aTiBQ/company-logo_100_100/0/1648228339621/monsterenergy_logo?e=1712188800&v=beta&t=NmUYXYca44a7BXaqdMDrWEK_l4SZFqwG5OiCDsjLpVw,"1,001-5,000 employees",Food and Beverage Services,47491.2,Transportation Data Analyst - REMOTE
3584070405,Senior Data Scientist,Alo Yoga,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQHUIAblW0luTw/company-logo_100_100/0/1630663534885/alo_yoga_logo?e=1712188800&v=beta&t=hd-NNHPmzz1VPch0QE7w470-RWiBNPOgFlzNefGqeUE,"501-1,000 employees",Retail Apparel and Fashion,180000.0,Senior Data Scientist
3591494057,Business Analyst,Kansas City Public Schools,KS,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4E0BAQGB-84EKqF7xQ/company-logo_100_100/0/1631352239656?e=1712188800&v=beta&t=NXXa5svooimqnMm3EToyKGkUKtqQaDqu2ZAb6jV0GRs,"1,001-5,000 employees",Primary and Secondary Education,51100.8,School Business Analyst-02191
3592057790,Senior Data Scientist,TikTok,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C510BAQGCdThXIss7UQ/company-logo_100_100/0/1630606162248/tiktok_logo?e=1712188800&v=beta&t=TnKOeulgrxOnJlI9SSXh4fTDEGqREutfoACQXiEx7ZU,"10,001+ employees",Entertainment Providers,252844.0,"Senior Data Scientist, TikTok Experience"
3595740119,Senior Business Analyst,Panda Restaurant Group,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/D560BAQFOGmrz_7Gxxw/company-logo_100_100/0/1692061813233/panda_restaurant_group_logo?e=1712188800&v=beta&t=WclNQhIQog5seMa_lRc7OpXvcfJEqt1n6AQRhRuD3JM,"10,001+ employees",Restaurants,96750.0,Sr. Business Analyst
3604512767,Senior Data Architect,Deloitte,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQGNtpblgQpJoQ/company-logo_100_100/0/1662120928214/deloitte_logo?e=1712188800&v=beta&t=uDNRVL7rycHpQoAyYKYVK49UN0coIufcIrCeYnXPbbM,"10,001+ employees",Business Consulting and Services,151100.0,SAP Data Architect Sr Consultant
3604512773,Senior Data Architect,Deloitte,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQGNtpblgQpJoQ/company-logo_100_100/0/1662120928214/deloitte_logo?e=1712188800&v=beta&t=uDNRVL7rycHpQoAyYKYVK49UN0coIufcIrCeYnXPbbM,"10,001+ employees",Business Consulting and Services,151100.0,SAP Data Architect Sr Consultant
3604517194,Senior Data Architect,Deloitte,FL,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQGNtpblgQpJoQ/company-logo_100_100/0/1662120928214/deloitte_logo?e=1712188800&v=beta&t=uDNRVL7rycHpQoAyYKYVK49UN0coIufcIrCeYnXPbbM,"10,001+ employees",Business Consulting and Services,151100.0,SAP Data Architect Sr Consultant
3605378008,Data Architect,Databricks,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/D560BAQFPIRKiPVETuw/company-logo_100_100/0/1697215766274?e=1712188800&v=beta&t=NdHO94vLSfJ_EO79BMOXehvbHW0c1o72LRd-xZ9uv6k,"5,001-10,000 employees",Software Development,198300.0,Staff Data Architect
3620841954,Senior Data Scientist,Coinbase,WA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1712188800&v=beta&t=M5vnGc9m0HwuflY510Dc2hSDteMLEqVm62Lsq6moYls,"1,001-5,000 employees",Internet Publishing,173125.0,Senior Data Scientist
3620842819,Senior Data Scientist,Coinbase,NY,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1712188800&v=beta&t=M5vnGc9m0HwuflY510Dc2hSDteMLEqVm62Lsq6moYls,"1,001-5,000 employees",Internet Publishing,173125.0,Senior Data Scientist
3620845206,Senior Data Scientist,Coinbase,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1712188800&v=beta&t=M5vnGc9m0HwuflY510Dc2hSDteMLEqVm62Lsq6moYls,"1,001-5,000 employees",Internet Publishing,173125.0,Senior Data Scientist
3620848002,Senior Data Scientist,Coinbase,IL,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1712188800&v=beta&t=M5vnGc9m0HwuflY510Dc2hSDteMLEqVm62Lsq6moYls,"1,001-5,000 employees",Internet Publishing,173125.0,Senior Data Scientist
3625991319,Data Scientist,Overview,CA,Full-time,Entry level,M,https://media.licdn.com/dms/image/D560BAQHciEJIDlxmDA/company-logo_100_100/0/1694818126733/overview_ai_logo?e=1712188800&v=beta&t=q_V0nMoSV2UNIjJLPX0I8KevbwpNurxavTZ3iJWLxJM,11-50 employees,Industrial Automation,125000.0,Deep Learning Data Scientist (Research)
3627106734,Deep Learning Engineer,Rivian,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4E0BAQExEiomEFELIA/company-logo_100_100/0/1632952934752/rivian_logo?e=1712188800&v=beta&t=HT7LYsA64aADztE2opo6U6Z27qSUXAUG2PXUkMkcQqQ,"10,001+ employees",Motor Vehicle Manufacturing,220500.0,"Staff Deep Learning Engineer, Autonomy"
3631883516,Senior Deep Learning Engineer,NVIDIA,WA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQFDs6GbpvE3zA/company-logo_100_100/0/1630584931971/nvidia_logo?e=1712188800&v=beta&t=3rSWyGm_Rhq8dif50FGLKrbiW9lcxWPSHTHX7a8oIT0,"10,001+ employees",Computer Hardware Manufacturing,254750.0,"Senior Performance Software Engineer, Deep Learning Libraries"
3631886389,Senior Deep Learning Engineer,NVIDIA,OR,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQFDs6GbpvE3zA/company-logo_100_100/0/1630584931971/nvidia_logo?e=1712188800&v=beta&t=3rSWyGm_Rhq8dif50FGLKrbiW9lcxWPSHTHX7a8oIT0,"10,001+ employees",Computer Hardware Manufacturing,254750.0,"Senior Performance Software Engineer, Deep Learning Libraries"
3631887340,Senior Deep Learning Engineer,NVIDIA,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQFDs6GbpvE3zA/company-logo_100_100/0/1630584931971/nvidia_logo?e=1712188800&v=beta&t=3rSWyGm_Rhq8dif50FGLKrbiW9lcxWPSHTHX7a8oIT0,"10,001+ employees",Computer Hardware Manufacturing,254750.0,"Senior Performance Software Engineer, Deep Learning Libraries"
3631887341,Senior Deep Learning Engineer,NVIDIA,NC,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQFDs6GbpvE3zA/company-logo_100_100/0/1630584931971/nvidia_logo?e=1712188800&v=beta&t=3rSWyGm_Rhq8dif50FGLKrbiW9lcxWPSHTHX7a8oIT0,"10,001+ employees",Computer Hardware Manufacturing,254750.0,"Senior Performance Software Engineer, Deep Learning Libraries"
