job_id,job_title,company_name,company_state,remote_ratio,employment_type,experience_level,company_size,image_link,employees,company_services,salary,min,max,original_title
2814232813,Python Developer,Tech Mahindra,CA,On-site,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/D4D0BAQEf1kY81Y-qvA/company-logo_100_100/0/1692161733156/tech_mahindra_logo?e=1712188800&v=beta&t=qnTBAUrO296FVMhYyLDeeOQMUNXlhCXEgvPNrGZdY9w,"10,001+ employees",IT Services and IT Consulting,,,,Python Developer
2825610354,Deep Learning Engineer,Stochastic,MA,,Full-time,Entry level,S,https://media.licdn.com/dms/image/D560BAQFCWfw2DWPGPA/company-logo_100_100/0/1694710644373/stochasticai_logo?e=1712188800&v=beta&t=XYmWaI7K5nSrCt-GrjZC53OUbPWaSd5x0AbGSx5w3dg,1-10 employees,Software Development,100000.0,60000.0,140000.0,Deep Learning Engineer
2938046916,Senior Data Scientist,Zoox,CA,Hybrid,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQF2yqp_9BrVew/company-logo_100_100/0/1654722579134/zoox_inc_logo?e=1712188800&v=beta&t=SL6WcNU244xnmomZB-gLmVL3m7hhTuBMoxH3yOMQ3Sc,"1,001-5,000 employees",Automotive,249000.0,204000.0,294000.0,Senior Data Scientist
2938048751,Senior Machine Learning Engineer,Zoox,CA,Hybrid,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQF2yqp_9BrVew/company-logo_100_100/0/1654722579134/zoox_inc_logo?e=1712188800&v=beta&t=SL6WcNU244xnmomZB-gLmVL3m7hhTuBMoxH3yOMQ3Sc,"1,001-5,000 employees",Automotive,270000.0,221000.0,319000.0,Senior/Staff Machine Learning Engineer - Prediction & Behavior ML
3240956260,Python Developer,Atlantic Partners Corporation,PA,Hybrid,Full-time,Mid-Senior level,M,https://media.licdn.com/dms/image/C4E0BAQFvIfdSwrvS9g/company-logo_100_100/0/1631314339396?e=1712188800&v=beta&t=PozyfmzLwNtlCodZeueeKaYzURBgJTWGOCpSWKeJmBc,51-200 employees,Staffing and Recruiting,157500.0,125000.0,190000.0,Python Developer
3287417653,Python Developer,Siblings Software,FL,,Full-time,Entry level,M,https://media.licdn.com/dms/image/C560BAQHQYgfAU1q14g/company-logo_100_100/0/1631375523961?e=1712188800&v=beta&t=eiGAdsPuzhpOh8MdA4yLk8MCWSP5PzvO9nl2rAj_ipQ,11-50 employees,IT Services and IT Consulting,,,,Python Developer
3425003322,Senior Software Engineer,Zoox,CA,Hybrid,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQF2yqp_9BrVew/company-logo_100_100/0/1654722579134/zoox_inc_logo?e=1712188800&v=beta&t=SL6WcNU244xnmomZB-gLmVL3m7hhTuBMoxH3yOMQ3Sc,"1,001-5,000 employees",Automotive,270000.0,221000.0,319000.0,Senior/Staff Software Engineer - Machine Learning
3450185543,Data Architect,PepsiCo,TX,On-site,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4E0BAQES6SfNFl84wA/company-logo_100_100/0/1679328336145/pepsico_logo?e=1712188800&v=beta&t=T6rO4lm6tk0XdXom9Musf55Ud3QyvJbZI_mMzYv7_-w,"10,001+ employees",Food and Beverage Services,,,,Data Architect Manager
3463197080,Senior Machine Learning Engineer,TikTok,WA,,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C510BAQGCdThXIss7UQ/company-logo_100_100/0/1630606162248/tiktok_logo?e=1712188800&v=beta&t=TnKOeulgrxOnJlI9SSXh4fTDEGqREutfoACQXiEx7ZU,"10,001+ employees",Entertainment Providers,221844.0,177688.0,266000.0,Senior Machine Learning Engineer - Ads Signal
3474043331,Data Analyst,Public Consulting Group,NY,On-site,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4E0BAQHbfiWr4LHVJA/company-logo_100_100/0/1630602491796/public_consulting_group_logo?e=1712188800&v=beta&t=DdrG92DiOyer22Z4TaKb-YxO7xzImOQwvEojbVCmilA,"1,001-5,000 employees",Professional Services,60500.0,56000.0,65000.0,Healthcare Data Analyst - OQPS 1002
